"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"01-Jun-2023","EQ","447.00","447.00","439.00","445.50","440.10","439.70","441.70","452.00","258.55","8,803,137","3,888,310,387.15","134,912"
"31-May-2023","EQ","449.30","452.00","442.45","449.90","446.00","445.50","446.12","452.00","258.55","14,272,292","6,367,119,611.25","174,471"
"30-May-2023","EQ","441.00","451.45","441.00","449.10","449.95","449.90","447.84","451.80","258.55","18,900,002","8,464,137,340.70","156,176"
"29-May-2023","EQ","445.00","451.80","444.10","443.60","448.95","449.10","449.07","451.80","258.55","19,826,254","8,903,460,482.55","138,647"
"26-May-2023","EQ","443.40","444.75","439.50","441.15","443.95","443.60","443.04","444.75","258.55","12,995,706","5,757,573,299.45","100,502"
"25-May-2023","EQ","436.95","442.45","434.80","433.50","441.75","441.15","439.95","442.45","258.55","18,204,464","8,009,108,087.90","149,170"
"24-May-2023","EQ","428.30","434.75","427.00","429.15","434.00","433.50","431.98","434.75","258.55","11,479,706","4,958,994,968.35","109,453"
"23-May-2023","EQ","426.00","431.20","424.20","424.75","429.40","429.15","428.95","433.45","258.55","8,732,608","3,745,834,140.90","95,039"
"22-May-2023","EQ","421.95","425.75","419.10","419.85","425.10","424.75","423.44","433.45","258.55","15,421,680","6,530,106,829.00","114,656"
"19-May-2023","EQ","420.95","423.10","411.35","419.70","420.10","419.85","417.72","433.45","253.00","25,767,521","10,763,594,935.00","252,667"
"18-May-2023","EQ","430.00","432.45","418.10","427.60","418.85","419.70","423.56","433.45","253.00","23,995,166","10,163,297,449.60","192,911"
"17-May-2023","EQ","424.15","428.95","422.60","423.95","428.05","427.60","425.56","433.45","253.00","9,479,691","4,034,211,521.55","115,983"
"16-May-2023","EQ","430.00","430.00","423.50","427.80","424.45","423.95","425.66","433.45","253.00","7,994,197","3,402,844,838.50","167,923"
"15-May-2023","EQ","420.00","428.70","419.05","420.45","428.40","427.80","425.33","433.45","253.00","9,151,102","3,892,210,377.75","142,351"
"12-May-2023","EQ","420.40","422.70","416.05","420.40","420.15","420.45","419.60","433.45","249.15","11,135,894","4,672,569,928.70","127,862"
"11-May-2023","EQ","427.25","427.40","418.90","425.35","421.25","420.40","422.51","433.45","249.15","15,982,423","6,752,691,707.75","146,138"
"10-May-2023","EQ","423.95","426.35","422.20","423.80","424.60","425.35","424.44","433.45","249.15","9,754,485","4,140,236,476.55","115,461"
"09-May-2023","EQ","432.80","433.15","421.50","431.45","424.10","423.80","426.09","433.45","249.15","9,992,962","4,257,875,074.60","192,266"
"08-May-2023","EQ","431.00","433.45","429.35","428.75","432.10","431.45","431.27","433.45","249.15","7,243,636","3,123,994,202.10","110,800"
"05-May-2023","EQ","425.95","431.90","424.35","424.60","429.30","428.75","427.76","431.90","249.15","12,412,416","5,309,505,691.45","136,979"
"04-May-2023","EQ","425.30","427.00","424.00","427.15","424.15","424.60","424.93","428.50","249.15","7,984,933","3,393,021,577.85","141,346"
"03-May-2023","EQ","424.00","428.50","422.05","424.45","426.95","427.15","426.65","428.50","249.15","7,325,483","3,125,437,667.60","136,925"
"02-May-2023","EQ","426.00","427.00","421.20","425.55","424.80","424.45","424.29","428.25","249.15","10,253,527","4,350,456,302.45","235,796"
